match_id,is_openai5,fight_start,kill_delta_radiant,gadv_d30,gadv_d60,gadv_d120,gadv_d180
2560158271,False,1222,5,0,2587,4204,4704
2560158271,False,1401,3,0,2835,3375,4406
2560158271,False,1704,4,0,1907,3012,8501
2560069057,False,1357,0,436,436,1478,1706
2560069057,False,1633,-4,0,-2518,-3890,-3557
2560069057,False,1787,-5,333,333,-4629,-8182
2559987699,False,1410,-2,-1136,-1136,-2864,-2399
2559987699,False,2032,-2,22,22,-410,-8580
2558534849,False,702,0,56,56,-234,715
2558534849,False,1612,1,-358,-358,2263,6050
2558534849,False,1694,3,0,3787,8041,8470
2558534849,False,1843,1,429,429,6341,6862
2558534849,False,1965,2,521,521,3860,6552
2558473213,False,443,3,0,1075,953,155
2558473213,False,823,1,-341,-341,-81,-879
2558473213,False,1307,-1,-2271,-2271,-5668,-7262
2558473213,False,1508,-3,0,-7388,-7388,-7388
2558387942,False,2640,-3,0,-2814,-6386,-7154
2558387942,False,2874,-1,614,614,534,-69
2558387942,False,3151,1,-197,-197,602,1586
2558387942,False,3675,1,0,3770,6745,7308
2558387942,False,4008,-2,919,919,-2075,-2762
2558332885,False,1463,-1,0,-536,-1396,-2581
2558332885,False,1804,2,0,2274,3963,4791
2558332885,False,1967,2,828,828,3114,5033
2558290213,False,602,1,0,349,368,899
2558290213,False,775,0,531,531,633,190
2558290213,False,885,3,-443,-443,3504,3821
2558255566,False,678,3,0,2571,3150,4471
2558255566,False,1256,-1,1781,1781,-781,989
2558255566,False,1571,1,0,6757,6757,6757
2558190331,False,865,3,0,1164,2413,1090
2558190331,False,1461,1,0,242,541,1221
2558113366,False,447,-1,0,-501,-982,-2725
2558113366,False,538,-3,-481,-481,-2224,-1866
2558113366,False,823,-4,-708,-708,-3000,-3439
2558113366,False,1636,-4,0,-2771,-6485,-10161
2558033556,False,382,0,0,-58,271,158
2558033556,False,901,2,0,51,1618,1645
2558033556,False,1652,1,564,564,2810,2897
2558033556,False,1789,-4,87,87,-3505,-4862
2558033556,False,2393,-4,829,829,-1592,-7357
2557955371,False,-16,0,0,0,360,192
2557955371,False,421,-2,0,-1250,-1482,-1963
2557955371,False,700,0,276,276,-421,-1093
2557955371,False,788,-2,0,-672,-581,-1427
2557955371,False,957,3,-846,-846,2093,2662
2557955371,False,1478,-1,161,161,-130,1447
2557955371,False,1532,1,-291,-291,1286,5679
2557955371,False,1636,4,0,4393,6046,6333
2557955371,False,1952,0,1592,1592,-1246,-76
2557955371,False,2056,2,0,1170,3684,4847
2557955371,False,2228,3,0,3502,9841,9841
2551633824,False,2000,0,0,1488,2581,3229
2551633824,False,2285,-1,0,-988,-1636,-3310
2551633824,False,2601,-3,0,-3311,-3311,-3311
2551608784,False,838,4,384,384,2532,2727
2551582637,False,646,-2,717,717,-841,-469
2551582637,False,942,-3,-692,-692,-2273,-3011
2551582637,False,1070,-3,-738,-738,-5473,-4935
2551582637,False,1191,-4,538,538,-1460,-1460
2551558915,False,1148,0,0,132,225,771
2551558915,False,1734,-1,-1207,-1207,-1009,889
2551558915,False,1954,4,4308,4308,11741,12017
2551542809,False,1307,-2,1051,1051,-899,-2702
2551542809,False,2050,2,0,2226,2900,1582
2551542809,False,2175,-2,0,-1318,-1805,-1138
2551542809,False,2822,3,0,1953,4410,5713
2551542809,False,3412,3,1016,1016,4511,5974
2551542809,False,3774,2,-629,-629,-1276,-4366
2551542809,False,4095,-4,0,-5787,-5787,-5787
2551529539,False,938,-1,-207,-207,425,379
2551509577,False,120,1,0,-48,-105,-198
2551509577,False,1044,3,0,2593,2351,4232
2551509577,False,1116,3,-242,-242,1639,2724
2551509577,False,1495,3,217,217,6577,6364
2551474091,False,1199,-1,717,717,-1117,-1
2551474091,False,1367,-1,-680,-680,-3008,-1588
2551474091,False,2320,1,-1200,-1200,2169,4019
2551474091,False,2506,0,2801,2801,4399,4788
2551458951,False,1352,1,-231,-231,145,43
2551458951,False,1622,5,0,2651,8378,8445
2551458951,False,1781,5,67,67,67,67
2551444424,False,474,-3,-760,-760,-2638,-3190
2551444424,False,621,-3,0,-2710,-3961,-4021
2551419679,False,1731,-3,1771,1771,-261,-326
2551419679,False,1951,-2,-106,-106,-1622,-3057
2551419679,False,2115,-4,0,-1473,-4793,-4793
2551398791,False,776,-1,-313,-313,-1466,-4833
2551398791,False,863,-5,0,-3367,-4601,-6075
2551398734,False,1486,1,-420,-420,-346,647
2551398734,False,1640,1,0,475,1259,1624
2551398734,False,2429,2,0,339,2189,2912
2551398734,False,2681,-1,-1378,-1378,-3896,-5573
2551398734,False,3266,-1,0,-7221,-3043,152
2551398734,False,3399,-2,3195,3195,3195,3195
2551385390,False,668,3,0,1482,2057,1873
2551385390,False,1202,-2,0,-727,-762,-2722
2551385390,False,1815,3,0,1882,1654,1461
2551385390,False,2265,3,-1907,-1907,3223,588
